City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
117,saipan,15.1355,145.701,304.54,100,40,7.72,MP,1682305544
118,khandyga,62.6667,135.6,274.13,74,100,4.28,RU,1682305544
119,haiku-pauwela,20.9219,-156.3051,300.16,47,20,3.09,US,1682305544
120,happy valley-goose bay,53.3168,-60.3315,276.32,81,20,2.06,CA,1682305545
121,prineville,44.2999,-120.8345,284.54,58,0,7.2,US,1682305545
122,cascais,38.6979,-9.4215,288.99,88,7,7.6,PT,1682305546
123,xiva,41.3783,60.3639,292.14,24,35,9.97,UZ,1682305546
124,nagato,34.3833,131.2,288.64,47,100,5.02,JP,1682305547
125,as sulayyil,20.4607,45.5779,293.29,47,1,3.42,SA,1682305547
126,bubaque,11.2833,-15.8333,299.31,64,11,5.23,GW,1682305548
127,mutuali,-14.8706,37.0044,290.88,96,14,1.11,MZ,1682305548
128,atchison,39.563,-95.1216,281.1,52,54,3.55,US,1682305548
129,mamfe,5.754,9.3123,296.32,97,97,0.59,CM,1682305549
130,kodiak,57.79,-152.4072,273.58,60,92,7.41,US,1682305350
131,constitucion,-35.3333,-72.4167,285.11,86,8,2.62,CL,1682305550
132,ancud,-41.8697,-73.8203,280.89,88,1,1.68,CL,1682305550
133,corner brook,48.9667,-57.9484,275.24,96,100,2.5,CA,1682305551
134,lebu,-37.6167,-73.65,284.32,86,6,4.19,CL,1682305551
135,hakha,22.65,93.6167,296.56,35,9,0.32,MM,1682305551
136,umm ruwaba,12.9061,31.2158,302.72,40,52,6.04,SD,1682305552
137,vorgashor,67.5833,63.95,262.63,95,96,3.91,RU,1682305552
138,greenfield,42.9614,-88.0126,276.96,66,75,0.0,US,1682305553
139,howrah,22.5892,88.3103,302.15,74,20,0.0,IN,1682305355
140,kavieng,-2.5744,150.7967,302.2,73,44,3.22,PG,1682305554
141,nar'yan-mar,67.6713,53.087,266.38,91,23,7.03,RU,1682305554
142,belyy yar,53.6039,91.3903,279.09,36,0,2.0,RU,1682305555
143,guerrero negro,27.9769,-114.0611,288.23,83,0,6.02,MX,1682305555
144,sitka,57.0531,-135.33,280.09,81,100,3.6,US,1682305471
145,berezovyy,51.6667,135.7,279.01,51,100,5.71,RU,1682305556
146,onguday,50.75,86.15,281.85,36,82,2.03,RU,1682305556
147,pisco,-13.7,-76.2167,295.18,83,0,3.09,PE,1682305557
148,mantyharju,61.4167,26.8833,281.21,76,99,4.41,FI,1682305557
149,ilulissat,69.2167,-51.1,273.16,100,100,3.09,GL,1682305558
150,zimmerman,45.4433,-93.59,277.14,64,100,0.0,US,1682305558
151,araguaina,-7.1911,-48.2072,296.76,79,100,1.16,BR,1682305506
152,badagry,6.4167,2.8833,299.85,87,100,1.27,NG,1682305559
153,aykhal,66.0,111.5,269.82,80,83,1.65,RU,1682305559
154,machico,32.7,-16.7667,291.5,83,40,2.57,PT,1682305560
155,tsiombe,-25.3,45.4833,293.27,88,7,4.14,MG,1682305560
156,port alfred,-33.5906,26.891,294.6,61,100,2.0,ZA,1682305561
157,puerto baquerizo moreno,-0.9,-89.6,298.95,81,37,3.99,EC,1682305561
